model,total accuracy,macro f1-score,class herbonauten f1-score,class vouchervision f1-score
rf,0.8285714285714286,0.8278914240755311,0.8387096774193549,0.8170731707317073
lgb,0.8114285714285714,0.8114039384735966,0.8135593220338984,0.8092485549132948
svc,0.7771428571428571,0.7770263647946682,0.7719298245614035,0.7821229050279329
cnn,0.8285714285714286,0.8285658307210031,0.8295454545454546,0.8275862068965517
hybrid_rf,0.8457142857142858,0.8453911848434279,0.8524590163934426,0.8383233532934131
hybrid_lgb,0.8457142857142858,0.8456941314783972,0.847457627118644,0.8439306358381503
hybrid_svc,0.7428571428571429,0.7401075872083429,0.7668393782383419,0.7133757961783439
rf_on_val,0.8476190476190476,0.8459280997798972,0.8620689655172413,0.8297872340425532
lgb_on_val,0.819047619047619,0.8187846307566538,0.8256880733944955,0.8118811881188119
svc_on_val,0.7714285714285715,0.7714078374455733,0.7735849056603774,0.7692307692307693
cnn_on_val,0.8,0.7999274113056891,0.8037383177570093,0.7961165048543689
hybrid_rf_on_val,0.8476190476190476,0.8464912280701755,0.8596491228070176,0.8333333333333334
hybrid_lgb_on_val,0.8285714285714286,0.8278061224489797,0.8392857142857143,0.8163265306122449
hybrid_svc_on_val,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666
