,mean_conf,min_conf,std_conf,words_count,char_count,num_text_lines,num_text_blocks,low_conf_ratio,text_density,handwriting_ocr,detected_lang,detected_lang_conf,text_area,mean_orientation,relative_label_centroid_x,relative_label_centroid_y,resolution,laplacian,contrast,brightness,noise,noise_sigma,background_uniformity,overlapped_label_area,number_of_labels,label_coordinates,mean_label_width,mean_label_height,label_spread,areas,handwritten_flag
B100000390,40.098986490740735,0.0,31.384550301230046,108,388.0,22,14,0.6944444444444444,0.16725072234639918,1.0,de,28.99984711302576,306788,0.19622389968184337,0.5004633920296571,0.7961764705882353,1.8343,633.0444587312993,49.67017176554081,192.20609169710517,7.630306929073761,0.4136554348898582,16.744311238093413,0.0,0,[],0.0,0.0,0.0,0.0,0.0
B100001491,64.34704923809524,13.398926,31.272056176512912,21,90.0,9,4,0.3333333333333333,0.07187436733775729,0.0,zz,0.0,127807,0.20786030213516818,0.48326959847036327,0.9294117647058824,1.7782,785.3205914077671,47.14489548661129,215.87601788325273,8.647922056011698,0.43848431408642885,17.39965336761345,0.0,1,"[(1, 1452, 410, 1699)]",409.0,247.0,0.0,101023.0,0.0
B100001493,55.610124949999985,2.943741,32.631949791938034,20,90.0,9,5,0.55,0.08125309894072572,0.0,en,22.14277107250809,144208,0.25544463843316484,0.5,0.8464705882352941,1.7748,595.0245543433701,29.565028415412144,226.46903763804372,6.7935316655397795,0.38882655569326846,15.072858567240468,0.0001598976654940838,2,"[(0, 1442, 417, 1699), (557, 1288, 734, 1394)]",297.0,181.5,389.1922725337696,125931.0,0.0
B100001916,71.2794368888889,28.253845,20.99446116380536,27,128.0,15,11,0.14814814814814814,0.041745712530026256,0.0,zz,0.0,74729,0.16268515803892175,0.49382716049382713,0.866764705882353,1.7901,256.1090346396129,37.25724945817157,211.4695648287805,5.139997765487961,2.339133856346019e-30,6.714893213402901,0.0,1,"[(0, 1324, 458, 1677)]",458.0,353.0,0.0,161674.0,0.0
B100002521,74.18114516666667,0.0,28.527337708704803,108,499.0,25,12,0.2037037037037037,0.06995014955134596,0.0,en,542.9982238748431,126288,0.15911188511901914,0.501412429378531,0.85,1.8054,2293.0450198193344,63.369786697630545,209.81380635870167,6.084742439348621,0.3706505546264171,16.61069435359819,0.17201377006145713,2,"[(10, 1512, 457, 1693), (7, 1174, 429, 1509)]",434.5,258.0,215.16795765169124,222277.0,0.0
B100002801,62.80258974418606,0.0,33.239520348030105,43,183.0,11,6,0.37209302325581395,0.04006186136426401,0.0,no,57.99964503522316,72532,0.21530327786794046,0.5051643192488263,0.8802941176470588,1.8105,550.9062517875524,45.10106640473384,209.14603755868544,6.833928196630765,0.1853252773132171,15.975135915972839,0.0,2,"[(405, 1293, 682, 1453), (2, 1559, 422, 1693)]",348.5,147.0,329.04596943284383,100600.0,0.0
B100002884,69.1947363962264,0.0,32.41863623287608,106,548.0,19,9,0.2641509433962264,0.06487882793566865,0.0,en,474.99790411694295,117794,0.13681397657269403,0.4901685393258427,0.8608823529411764,1.8156,2388.6583614155525,44.178661883003926,234.0883735404274,5.496560365719321,0.3954794338229604,14.364992975385412,0.3336628769154721,1,"[(0, 1410, 518, 1699)]",518.0,289.0,0.0,149702.0,0.0
B100003200,71.00391904225353,0.0,28.78344185058698,71,355.0,19,16,0.23943661971830985,0.08275279089738086,0.0,en,196.99886684169442,154185,0.23481154143676636,0.5072992700729927,0.8376470588235294,1.8632,1505.3551028892139,85.29737553378732,145.98187580506655,14.500150279089738,0.6171567132699367,24.46551804181055,0.0,1,"[(13, 1422, 445, 1681)]",432.0,259.0,0.0,111888.0,0.0
B100003483,88.27999749180327,33.280006,15.051617538765882,61,317.0,15,7,0.04918032786885246,0.038393286682702824,0.0,en,322.9990360798274,70229,0.11158934719249594,0.3847583643122677,0.9152941176470588,1.8292,989.169030943181,63.03119416181014,211.7419992346381,8.7467636125082,1.1173548300016706e-14,11.82427859442356,0.0,1,"[(3, 1375, 411, 1692)]",408.0,317.0,0.0,129336.0,0.0
B100005500,66.80988128888889,0.0,30.590096479443233,45,208.0,11,5,0.26666666666666666,0.043671003717472116,0.0,en,189.4278145208581,79883,0.19149987853553582,0.5023234200743495,0.8291176470588235,1.8292,649.1899065073571,23.95690751603547,243.37376612726874,1.6803930680078722,7.449032200011137e-15,9.491822147790005,0.0,1,"[(1, 1437, 474, 1699)]",473.0,262.0,0.0,123926.0,0.0
B100005618,72.20005965573769,0.0,28.211163344758564,61,308.0,17,10,0.21311475409836064,0.03450851755885109,0.0,pt,226.99840896187126,62595,0.19761296284515717,0.4854732895970009,0.8394117647058823,1.8139,1024.3691290724896,62.17812730146124,201.5169843982579,8.823032691989635,1.1695669281730096e-30,9.397623354297622,0.0,1,"[(1, 1267, 616, 1675)]",615.0,408.0,0.0,250920.0,0.0
B100007999,71.66014617647059,0.0,29.759256312249978,68,299.0,7,2,0.2647058823529412,0.016452459329230475,0.0,fr,357.9984036185389,68972,0.09239257522264807,0.4561764705882353,0.9268045417680454,4.1922,320.6381599095039,46.95521112864006,219.0327393731215,3.427394446829827,0.25315903677322654,6.877936417555244,0.0,1,"[(9, 2147, 608, 2445)]",599.0,298.0,0.0,178502.0,0.0
B100008325,51.69825126666667,0.0,35.58257065623504,45,224.0,21,12,0.4888888888888889,0.0644551512536555,0.0,zz,0.0,268894,0.18834872752663298,0.44058823529411767,0.9091279543602282,4.1718,315.50227960889066,44.86419608279083,223.1193863560094,2.5561745529507647,0.1356675189200543,6.076507559818694,0.0,1,"[(15, 1980, 679, 2428)]",664.0,448.0,0.0,297472.0,0.0
B100008830,69.46074052083333,0.0,31.335610938178018,48,249.0,16,11,0.2708333333333333,0.052380105290992574,0.0,pt,42.285669345574014,217896,0.22177466122602202,0.46176470588235297,0.9109113199836535,4.1599,293.88457468125637,46.44142206864403,218.8858650448328,3.8376381643789514,0.18532527731320916,8.671791221795855,0.0,1,"[(62, 2029, 642, 2392)]",580.0,363.0,0.0,210540.0,0.0
B100010571,73.32478737288135,0.0,31.462615443302237,59,330.0,22,13,0.23728813559322035,0.020751208538745035,0.0,en,157.1779718858745,86711,0.1678228057789648,0.46,0.8669650122050447,4.1786,273.35703258500996,44.03927680512918,218.22851026659646,3.5352072464461783,0.3209927962332389,7.1598816335489355,0.0,1,"[(33, 1799, 521, 2437)]",488.0,638.0,0.0,311344.0,0.0
B100010881,75.08460879166667,0.0,28.559180485190105,72,359.0,18,12,0.20833333333333334,0.044215051202667305,0.0,pt,181.7135485836063,185659,0.13307617617960418,0.46911764705882353,0.8898785425101214,4.199,279.74531957346784,64.54791548000466,184.56392641105026,6.858251726601572,0.37065055462640656,7.878333221658041,0.0,1,"[(11, 1927, 881, 2459)]",870.0,532.0,0.0,462840.0,0.0
B100010886,79.543898,0.0,24.756572352461536,75,425.0,17,10,0.16,0.04929140051482506,0.0,es,213.42800479628048,206807,0.1144137378669956,0.47705882352941176,0.8903970826580226,4.1956,322.0864176457741,63.09055301002553,194.90002454952807,5.268124225378968,0.3458216754298339,8.878219557346293,0.0,1,"[(20, 1924, 897, 2453)]",877.0,529.0,0.0,463933.0,0.0
B100012080,80.5746555035461,0.0,25.629512995170792,141,690.0,43,20,0.16312056737588654,0.03493328550932568,0.0,en,305.49898959995915,146091,0.10461108686543841,0.44441176470588234,0.8934959349593496,4.182,423.4004012883886,51.96371301461764,212.6067288378766,5.457419894787183,0.3458216754298089,7.36445196988038,0.0,1,"[(24, 1942, 601, 2436)]",577.0,494.0,0.0,285038.0,0.0
B100012130,70.25719492660551,0.0,28.38541556002017,109,507.0,20,9,0.25688073394495414,0.008314746565835448,0.0,en,336.9986833351566,34744,0.15537294408259897,0.49441176470588233,0.886899918633035,4.1786,304.64468995036316,44.31831536681718,217.50668333891733,6.18563107260805,0.3276456743629549,8.00952513354365,0.0023169732417846344,1,"[(26, 1928, 590, 2430)]",564.0,502.0,0.0,283128.0,0.0
B100012133,76.73379175581395,0.0,25.971142252133433,86,454.0,25,14,0.1511627906976744,0.006897567988498862,0.0,en,211.05707149757757,28787,0.1276295437244695,0.7617647058823529,0.8568228105906314,4.1735,466.636155468296,44.38388488931479,219.05612962741105,5.558859470468432,0.3458216754298196,9.97518412088694,0.0,1,"[(25, 1876, 710, 2428)]",685.0,552.0,0.0,378120.0,0.0
B100013001,77.88295468518517,0.0,26.125508294877797,108,572.0,22,13,0.1574074074074074,0.013896909191026837,0.0,en,450.6838372894251,58046,0.20698758295649747,0.4938235294117647,0.8481888481888482,4.1769,389.94215401536655,52.50557365718728,207.4432028537911,6.731761354114295,0.37065055462640156,8.708860104667647,0.0,1,"[(16, 1943, 566, 2439)]",550.0,496.0,0.0,272800.0,0.0
B100013019,59.12916112676057,0.0,37.486624657384304,71,333.0,24,15,0.39436619718309857,0.024491239811649974,0.0,ro,95.99957185543433,102464,0.14551266861494502,0.45441176470588235,0.8783015034538806,4.1837,280.89479684611445,48.629090997862534,217.62863733059254,3.391281401630136,0.30281679516637283,6.161242818381113,0.0,1,"[(11, 1850, 639, 2448)]",628.0,598.0,0.0,375544.0,0.0
B100013077,0.0,0.0,0.0,0,0.0,0,0,0.0,0.03216133358881012,0.0,zz,0.0,134280,0.21582975468736454,0.44058823529411767,0.9218241042345277,4.1752,288.17986337139,53.020810921107206,203.85567397968958,7.850471594175129,0.37065055462639956,8.44862159086227,0.34057258209376523,1,"[(13, 2051, 611, 2442)]",598.0,391.0,0.0,233818.0,0.0
