,number_of_labels,mean_label_width,mean_label_height,label_spread,areas,handwritten_flag
B100000390,0.0,0.0,0.0,0.0,0.0,0.0
B100001491,0.3333333333333333,0.360352422907489,0.20362737015663646,0.0,0.07980178904894765,0.0
B100001493,0.6666666666666666,0.2616740088105727,0.1496290189612531,0.3194283496151641,0.09947753577623934,0.0
B100001916,0.3333333333333333,0.4035242290748899,0.29101401483924155,0.0,0.12771224812863965,0.0
B100002521,0.6666666666666666,0.38281938325991194,0.21269579554822754,0.17659843335348235,0.1755847902401724,0.0
B100002801,0.6666666666666666,0.30704845814977977,0.12118713932399011,0.2700634580413852,0.07946764576704447,0.0
B100002884,0.3333333333333333,0.4563876651982379,0.2382522671063479,0.0,0.11825512432025936,0.0
B100003200,0.3333333333333333,0.38061674008810575,0.213520197856554,0.0,0.08838445277915578,0.0
B100003483,0.3333333333333333,0.3594713656387665,0.26133553173948887,0.0,0.10216727070503444,0.0
B100005500,0.3333333333333333,0.4167400881057269,0.2159934047815334,0.0,0.097893712418755,0.0
B100005618,0.3333333333333333,0.5418502202643172,0.33635614179719703,0.0,0.19821095105235387,0.0
B100007999,0.3333333333333333,0.5277533039647577,0.24567188788128608,0.0,0.14100530521579496,0.0
B100008325,0.3333333333333333,0.5850220264317181,0.36933223413025557,0.0,0.23498409067210987,0.0
B100008830,0.3333333333333333,0.5110132158590308,0.2992580379225062,0.0,0.16631330158840502,0.0
B100010571,0.3333333333333333,0.4299559471365639,0.5259686727122836,0.0,0.2459420944701262,0.0
B100010881,0.3333333333333333,0.7665198237885463,0.4385820280296785,0.0,0.3656143654753366,0.0
B100010886,0.3333333333333333,0.7726872246696036,0.4361088211046991,0.0,0.36647776643779567,0.0
B100012080,0.3333333333333333,0.5083700440528635,0.4072547403132729,0.0,0.22516201604519703,0.0
B100012130,0.3333333333333333,0.49691629955947136,0.4138499587798846,0.0,0.2236532366871945,0.0
B100012133,0.3333333333333333,0.6035242290748899,0.45507007419620776,0.0,0.29869091667430275,0.0
B100013001,0.3333333333333333,0.4845814977973569,0.4089035449299258,0.0,0.21549476903826773,0.0
B100013019,0.3333333333333333,0.5533039647577093,0.49299258037922505,0.0,0.29665603938309093,0.0
B100013077,0.3333333333333333,0.5268722466960353,0.32234130255564714,0.0,0.1847014512719563,0.0
B100013079,0.3333333333333333,0.4986784140969163,0.5333882934872217,0.0,0.2892764494551016,0.0
B100013113,0.3333333333333333,0.5030837004405286,0.4237427864798021,0.0,0.231841721935914,0.0
B100013143,0.6666666666666666,0.494273127753304,0.33099752679307504,0.24957159072610718,0.35471323712955916,0.0
B100013533,0.3333333333333333,0.5647577092511014,0.3462489694971146,0.0,0.21266679516305878,0.0
B100013541,0.3333333333333333,0.5330396475770925,0.5927452596867271,0.0,0.34361857425880227,0.0
B100013542,0.3333333333333333,0.5480176211453744,0.49134377576257215,0.0,0.29283906458839554,0.0
B100013596,0.3333333333333333,0.573568281938326,0.41302555647155814,0.0,0.2576386892104108,0.0
B100015025,0.3333333333333333,0.507488986784141,0.5152514427040396,0.0,0.28437726119419493,0.0
B100020286,0.3333333333333333,0.5356828193832599,0.44929925803792253,0.0,0.26175347019252343,0.0
B100023819,0.3333333333333333,0.3629955947136564,0.2341302555647156,0.0,0.09242892938280656,0.0
B100025085,0.3333333333333333,0.5577092511013216,0.3874690849134378,0.0,0.23501410827190258,0.0
B100025104,0.3333333333333333,0.5797356828193833,0.3734542456718879,0.0,0.2354596326477735,0.0
B100027055,0.3333333333333333,0.5233480176211454,0.3553173948887057,0.0,0.20223488929825173,0.0
B100029096,0.3333333333333333,0.5251101321585904,0.33388293487221765,0.0,0.1906749536307077,0.0
B100029925,0.3333333333333333,0.5321585903083701,0.6892003297609234,0.0,0.398873866045671,0.0
B100030148,0.3333333333333333,0.5083700440528635,0.34707337180544107,0.0,0.1918890865486396,0.0
B100030420,0.3333333333333333,0.3233480176211454,0.5045342126957956,0.0,0.17742297325905823,0.0
B100030508,0.3333333333333333,0.428193832599119,0.28194558944765047,0.0,0.1312969814933598,0.0
B100043258,0.3333333333333333,0.5127753303964758,0.36768342951360267,0.0,0.20504548456305435,0.0
B100043259,0.3333333333333333,0.5277533039647577,0.4154987633965375,0.0,0.23847877123745187,0.0
B100046494,0.3333333333333333,0.5453744493392071,0.4229183841714757,0.0,0.2508420726678695,0.0
B100046516,0.3333333333333333,0.48370044052863437,0.32646331409727947,0.0,0.17173542803517433,0.0
B100046524,0.3333333333333333,0.628193832599119,0.3957131079967024,0.0,0.2703479829752813,0.0
B100046535,0.3333333333333333,0.6299559471365639,0.41220115416323166,0.0,0.2824024191025686,0.0
B100046795,0.3333333333333333,0.49515418502202646,0.5037098103874691,0.0,0.2712500908427362,0.0
B100046958,0.3333333333333333,0.47665198237885464,0.49876339653751034,0.0,0.25855027631990546,0.0
B100047225,0.3333333333333333,0.5321585903083701,0.7873042044517725,0.0,0.4556513661167653,0.0
B100047902,0.3333333333333333,0.5850220264317181,0.3322341302555647,0.0,0.21138077799299168,0.0
B100048005,0.3333333333333333,0.48105726872246696,0.5012366034624897,0.0,0.26223375178920694,0.0
B100048052,0.3333333333333333,0.5013215859030837,0.5201978565539984,0.0,0.2836181318941738,0.0
B100048267,0.3333333333333333,0.5127753303964758,0.38582028029678483,0.0,0.21515983581952788,0.0
B100048981,0.3333333333333333,0.5268722466960353,0.15663643858202803,0.0,0.08975262338023453,0.0
B100049843,0.3333333333333333,0.5348017621145374,0.3511953833470734,0.0,0.20426344709477032,0.0
B100050741,0.3333333333333333,0.5268722466960353,0.6603462489694971,0.0,0.37837816488193604,0.0
B100051118,0.3333333333333333,0.5374449339207049,0.5234954657873042,0.0,0.3059820336765872,0.0
B100051145,0.3333333333333333,0.6140969162995595,0.41220115416323166,0.0,0.2752929875727137,0.0
B100051153,0.3333333333333333,0.5814977973568283,0.33470733718054413,0.0,0.2116714747488791,0.0
B100051859,0.3333333333333333,0.5356828193832599,0.3511953833470734,0.0,0.20459996018718343,0.0
B100054944,0.3333333333333333,0.4828193832599119,0.325638911788953,0.0,0.1709897276613762,0.0
B100055545,0.3333333333333333,0.3709251101321586,0.27535037098103876,0.0,0.11107617834877924,0.0
B100058346,0.3333333333333333,0.5110132158590308,0.36356141797197034,0.0,0.2020500440784755,0.0
B100058356,0.3333333333333333,0.3709251101321586,0.2522671063478978,0.0,0.10176440291834266,0.0
B100066610,0.3333333333333333,0.3550660792951542,0.30667765869744434,0.0,0.11842417080330257,0.0
B100067590,0.3333333333333333,0.5559471365638767,0.3462489694971146,0.0,0.2093490604491265,0.0
B100070040,0.3333333333333333,0.5365638766519824,0.3528441879637263,0.0,0.20589861634663695,0.0
B100086436,0.3333333333333333,0.40528634361233484,0.22835943940643033,0.0,0.100653751726012,0.0
B100086706,0.3333333333333333,0.3409691629955947,0.3454245671887881,0.0,0.12809062787339526,0.0
B100088818,0.3333333333333333,0.5268722466960353,0.34872217642209397,0.0,0.19981768257810106,0.0
B100089444,0.3333333333333333,0.3682819383259912,0.2860676009892828,0.0,0.11457717840881444,0.0
B100089768,0.3333333333333333,0.39911894273127757,0.15416323165704865,0.0,0.06691633936950402,0.0
B100094275,0.6666666666666666,0.3079295154185022,0.2671063478977741,0.24960018296697334,0.1820132962168345,0.0
B100096136,0.3333333333333333,0.588546255506608,0.4072547403132729,0.0,0.26067283659998547,0.0
B100097716,0.3333333333333333,0.5286343612334802,0.3759274525968673,0.0,0.21612671850758816,0.0
B100097847,0.3333333333333333,0.5938325991189427,0.44105523495465787,0.0,0.28484332392781875,0.0
B100097875,0.3333333333333333,0.5911894273127754,0.43446001648804616,0.0,0.2793350943658545,0.0
B100097892,0.3333333333333333,0.5911894273127754,0.4295136026380874,0.0,0.27615480866149944,0.0
B100097905,0.3333333333333333,0.5876651982378854,0.4319868095630668,0.0,0.2760892439040574,0.0
B100097906,0.3333333333333333,0.5806167400881057,0.42126957955482275,0.0,0.2660104398052332,0.0
B100103718,0.3333333333333333,0.36651982378854625,0.2654575432811212,0.0,0.10581361914301333,0.0
B100104150,0.3333333333333333,0.3682819383259912,0.26875515251442705,0.0,0.10764311285669599,0.0
B100106420,0.3333333333333333,0.3726872246696035,0.27040395713107995,0.0,0.10959899646424273,0.0
B100106454,0.3333333333333333,0.37180616740088107,0.2654575432811212,0.0,0.10733977711142217,0.0
B100106489,0.3333333333333333,0.3726872246696035,0.2605111294311624,0.0,0.10558927708140457,0.0
B100106500,0.3333333333333333,0.36916299559471366,0.2588623248145095,0.0,0.10392882985076514,0.0
B100111628,0.3333333333333333,0.6502202643171806,0.42868920032976093,0.0,0.3031461604330118,0.0
B100111644,0.3333333333333333,0.6528634361233481,0.43528441879637264,0.0,0.30906120746585103,0.0
B100111666,0.3333333333333333,0.6590308370044053,0.44187963726298435,0.0,0.3167077960446283,0.0
B100111720,0.3333333333333333,0.6370044052863436,0.3726298433635614,0.0,0.2581481984700503,0.0
B100111978,0.3333333333333333,0.6511013215859031,0.43281121187139326,0.0,0.3064757441994938,0.0
B100112425,0.3333333333333333,0.5312775330396476,0.3511953833470734,0.0,0.2029173947251178,0.0
B100113983,0.3333333333333333,0.5092511013215859,0.33800494641385,0.0,0.18719923154944532,0.0
B100115692,0.3333333333333333,0.3682819383259912,0.2646331409727947,0.0,0.10599214486809636,0.0
